"ISO"	"Country"	"Period"	"variable"	"value"
"AUS"	"Australia"	1	"Broadband"	97
"AUT"	"Austria"	1	"Broadband"	98.3
"BEL"	"Belgium"	1	"Broadband"	97.4
"CAN"	"Canada"	1	"Broadband"	98.1
"CZE"	"Czech Republic"	1	"Broadband"	97.6
"DNK"	"Denmark"	1	"Broadband"	99.4
"EST"	"Estonia"	1	"Broadband"	94.7
"FIN"	"Finland"	1	"Broadband"	100
"FRA"	"France"	1	"Broadband"	95.5
"DEU"	"Germany"	1	"Broadband"	94.8
"GRC"	"Greece"	1	"Broadband"	84.6
"HUN"	"Hungary"	1	"Broadband"	92.3
"ISL"	"Iceland"	1	"Broadband"	94.3
"IRL"	"Ireland"	1	"Broadband"	97.5
"ITA"	"Italy"	1	"Broadband"	94.2
"JPN"	"Japan"	1	"Broadband"	94.5
"KOR"	"Korea"	1	"Broadband"	99.3
"LVA"	"Latvia"	1	"Broadband"	96.9
"LUX"	"Luxembourg"	1	"Broadband"	97.4
"MEX"	"Mexico"	1	"Broadband"	79.9
"NLD"	"Netherlands"	1	"Broadband"	100
"NZL"	"New Zealand"	1	"Broadband"	95.4
"NOR"	"Norway"	1	"Broadband"	93.4
"POL"	"Poland"	1	"Broadband"	93.2
"PRT"	"Portugal"	1	"Broadband"	96.3
"SVK"	"Slovak Republic"	1	"Broadband"	92.1
"SVN"	"Slovenia"	1	"Broadband"	99.2
"ESP"	"Spain"	1	"Broadband"	97.4
"SWE"	"Sweden"	1	"Broadband"	97.5
"CHE"	"Switzerland"	1	"Broadband"	96.3
"TUR"	"Turkey"	1	"Broadband"	92.6
"GBR"	"United Kingdom"	1	"Broadband"	94.3
"BRA"	"Brazil"	1	"Broadband"	97.5
"COL"	"Colombia"	1	"Broadband"	97.1
"LTU"	"Lithuania"	1	"Broadband"	100
"AUS"	"Australia"	0	"Broadband"	94.4
"AUT"	"Austria"	0	"Broadband"	81.7
"BEL"	"Belgium"	0	"Broadband"	90.4
"CAN"	"Canada"	0	"Broadband"	94.9
"CZE"	"Czech Republic"	0	"Broadband"	86.5
"DNK"	"Denmark"	0	"Broadband"	86.6
"EST"	"Estonia"	0	"Broadband"	88
"FIN"	"Finland"	0	"Broadband"	95.8
"FRA"	"France"	0	"Broadband"	93.3
"DEU"	"Germany"	0	"Broadband"	89.3
"GRC"	"Greece"	0	"Broadband"	80.6
"HUN"	"Hungary"	0	"Broadband"	79.4
"ISL"	"Iceland"	0	"Broadband"	95.3
"IRL"	"Ireland"	0	"Broadband"	86.7
"ITA"	"Italy"	0	"Broadband"	84
"JPN"	"Japan"	0	"Broadband"	79.7
"KOR"	"Korea"	0	"Broadband"	98.4
"LVA"	"Latvia"	0	"Broadband"	68.2
"LUX"	"Luxembourg"	0	"Broadband"	87.4
"MEX"	"Mexico"	0	"Broadband"	79.9
"NLD"	"Netherlands"	0	"Broadband"	90.9
"NZL"	"New Zealand"	0	"Broadband"	93.5
"NOR"	"Norway"	0	"Broadband"	86.8
"POL"	"Poland"	0	"Broadband"	69
"PRT"	"Portugal"	0	"Broadband"	84.7
"SVK"	"Slovak Republic"	0	"Broadband"	78.2
"SVN"	"Slovenia"	0	"Broadband"	87.8
"ESP"	"Spain"	0	"Broadband"	95.4
"SWE"	"Sweden"	0	"Broadband"	91.3
"CHE"	"Switzerland"	0	"Broadband"	98.1
"TUR"	"Turkey"	0	"Broadband"	88.8
"GBR"	"United Kingdom"	0	"Broadband"	88
"BRA"	"Brazil"	0	"Broadband"	91.1
"COL"	"Colombia"	0	"Broadband"	91.5
"LTU"	"Lithuania"	0	"Broadband"	81
"AUS"	"Australia"	1	"E-purchases"	68.4
"AUT"	"Austria"	1	"E-purchases"	66
"BEL"	"Belgium"	1	"E-purchases"	39.9
"CAN"	"Canada"	1	"E-purchases"	67.7
"CZE"	"Czech Republic"	1	"E-purchases"	62.4
"DNK"	"Denmark"	1	"E-purchases"	71.9
"EST"	"Estonia"	1	"E-purchases"	24.6
"FIN"	"Finland"	1	"E-purchases"	50.5
"FRA"	"France"	1	"E-purchases"	55
"DEU"	"Germany"	1	"E-purchases"	54.1
"GRC"	"Greece"	1	"E-purchases"	14.5
"HUN"	"Hungary"	1	"E-purchases"	36.7
"ISL"	"Iceland"	1	"E-purchases"	71.8
"IRL"	"Ireland"	1	"E-purchases"	45.8
"ITA"	"Italy"	1	"E-purchases"	40.9
"JPN"	"Japan"	1	"E-purchases"	34.7
"KOR"	"Korea"	1	"E-purchases"	34.4
"LVA"	"Latvia"	1	"E-purchases"	41.1
"LUX"	"Luxembourg"	1	"E-purchases"	42.2
"MEX"	"Mexico"	1	"E-purchases"	14.2
"NLD"	"Netherlands"	1	"E-purchases"	52.2
"NZL"	"New Zealand"	1	"E-purchases"	85.5
"NOR"	"Norway"	1	"E-purchases"	44.4
"POL"	"Poland"	1	"E-purchases"	34.8
"PRT"	"Portugal"	1	"E-purchases"	27.3
"SVK"	"Slovak Republic"	1	"E-purchases"	24.8
"SVN"	"Slovenia"	1	"E-purchases"	28.9
"ESP"	"Spain"	1	"E-purchases"	31.6
"SWE"	"Sweden"	1	"E-purchases"	36.9
"CHE"	"Switzerland"	1	"E-purchases"	56.6
"GBR"	"United Kingdom"	1	"E-purchases"	54.2
"BRA"	"Brazil"	1	"E-purchases"	62.1
"COL"	"Colombia"	1	"E-purchases"	36.9
"LTU"	"Lithuania"	1	"E-purchases"	26
"AUS"	"Australia"	0	"E-purchases"	60.8
"AUT"	"Austria"	0	"E-purchases"	51.3
"BEL"	"Belgium"	0	"E-purchases"	51.9
"CAN"	"Canada"	0	"E-purchases"	68.7
"CZE"	"Czech Republic"	0	"E-purchases"	36.2
"DNK"	"Denmark"	0	"E-purchases"	70.2
"EST"	"Estonia"	0	"E-purchases"	23.3
"FIN"	"Finland"	0	"E-purchases"	42.5
"FRA"	"France"	0	"E-purchases"	26.4
"DEU"	"Germany"	0	"E-purchases"	57.8
"GRC"	"Greece"	0	"E-purchases"	12.9
"HUN"	"Hungary"	0	"E-purchases"	30.1
"ISL"	"Iceland"	0	"E-purchases"	73.3
"IRL"	"Ireland"	0	"E-purchases"	43.7
"ITA"	"Italy"	0	"E-purchases"	35.9
"JPN"	"Japan"	0	"E-purchases"	28
"KOR"	"Korea"	0	"E-purchases"	48.3
"LVA"	"Latvia"	0	"E-purchases"	17.2
"LUX"	"Luxembourg"	0	"E-purchases"	50
"MEX"	"Mexico"	0	"E-purchases"	14.2
"NLD"	"Netherlands"	0	"E-purchases"	42.9
"NZL"	"New Zealand"	0	"E-purchases"	74
"NOR"	"Norway"	0	"E-purchases"	66.3
"POL"	"Poland"	0	"E-purchases"	16.7
"PRT"	"Portugal"	0	"E-purchases"	27.5
"SVK"	"Slovak Republic"	0	"E-purchases"	19.8
"SVN"	"Slovenia"	0	"E-purchases"	24.8
"ESP"	"Spain"	0	"E-purchases"	23.7
"SWE"	"Sweden"	0	"E-purchases"	69.2
"CHE"	"Switzerland"	0	"E-purchases"	73
"TUR"	"Turkey"	0	"E-purchases"	15
"GBR"	"United Kingdom"	0	"E-purchases"	51.6
"BRA"	"Brazil"	0	"E-purchases"	55
"COL"	"Colombia"	0	"E-purchases"	29.9
"LTU"	"Lithuania"	0	"E-purchases"	28.7
"AUT"	"Austria"	1	"ERP"	41.1
"BEL"	"Belgium"	1	"ERP"	50
"CAN"	"Canada"	1	"ERP"	21
"CZE"	"Czech Republic"	1	"ERP"	30.2
"DNK"	"Denmark"	1	"ERP"	46.5
"EST"	"Estonia"	1	"ERP"	22.3
"FIN"	"Finland"	1	"ERP"	36.5
"FRA"	"France"	1	"ERP"	39.3
"DEU"	"Germany"	1	"ERP"	56.5
"GRC"	"Greece"	1	"ERP"	36.5
"HUN"	"Hungary"	1	"ERP"	16
"ISL"	"Iceland"	1	"ERP"	11.2
"IRL"	"Ireland"	1	"ERP"	25.1
"ITA"	"Italy"	1	"ERP"	35.9
"KOR"	"Korea"	1	"ERP"	35.9
"LVA"	"Latvia"	1	"ERP"	15.9
"LUX"	"Luxembourg"	1	"ERP"	38.7
"NLD"	"Netherlands"	1	"ERP"	44.8
"NOR"	"Norway"	1	"ERP"	31.8
"POL"	"Poland"	1	"ERP"	20.9
"PRT"	"Portugal"	1	"ERP"	43.8
"SVK"	"Slovak Republic"	1	"ERP"	30.4
"SVN"	"Slovenia"	1	"ERP"	32.9
"ESP"	"Spain"	1	"ERP"	35.2
"SWE"	"Sweden"	1	"ERP"	42.8
"CHE"	"Switzerland"	1	"ERP"	27.1
"TUR"	"Turkey"	1	"ERP"	20.1
"GBR"	"United Kingdom"	1	"ERP"	16.7
"BRA"	"Brazil"	1	"ERP"	27.2
"LTU"	"Lithuania"	1	"ERP"	40.1
"AUT"	"Austria"	0	"ERP"	24.9
"BEL"	"Belgium"	0	"ERP"	40.1
"CAN"	"Canada"	0	"ERP"	16.8
"CZE"	"Czech Republic"	0	"ERP"	20.6
"DNK"	"Denmark"	0	"ERP"	28.7
"EST"	"Estonia"	0	"ERP"	7.5
"FIN"	"Finland"	0	"ERP"	27.7
"FRA"	"France"	0	"ERP"	24.1
"DEU"	"Germany"	0	"ERP"	28.6
"GRC"	"Greece"	0	"ERP"	35.9
"HUN"	"Hungary"	0	"ERP"	8.2
"ISL"	"Iceland"	0	"ERP"	10.4
"IRL"	"Ireland"	0	"ERP"	19.5
"ITA"	"Italy"	0	"ERP"	21.9
"KOR"	"Korea"	0	"ERP"	31.5
"LVA"	"Latvia"	0	"ERP"	8.3
"LUX"	"Luxembourg"	0	"ERP"	21.2
"NLD"	"Netherlands"	0	"ERP"	21.8
"NOR"	"Norway"	0	"ERP"	19.1
"POL"	"Poland"	0	"ERP"	11.3
"PRT"	"Portugal"	0	"ERP"	26
"SVK"	"Slovak Republic"	0	"ERP"	17.3
"SVN"	"Slovenia"	0	"ERP"	20.9
"ESP"	"Spain"	0	"ERP"	21.9
"SWE"	"Sweden"	0	"ERP"	35.5
"CHE"	"Switzerland"	0	"ERP"	38
"TUR"	"Turkey"	0	"ERP"	15.3
"GBR"	"United Kingdom"	0	"ERP"	6
"LTU"	"Lithuania"	0	"ERP"	11.4
"AUT"	"Austria"	1	"CRM"	43.6
"BEL"	"Belgium"	1	"CRM"	39.8
"CAN"	"Canada"	1	"CRM"	31
"CZE"	"Czech Republic"	1	"CRM"	20.5
"DNK"	"Denmark"	1	"CRM"	33.7
"EST"	"Estonia"	1	"CRM"	26.9
"FIN"	"Finland"	1	"CRM"	39.1
"FRA"	"France"	1	"CRM"	31.6
"DEU"	"Germany"	1	"CRM"	45.2
"GRC"	"Greece"	1	"CRM"	21.6
"HUN"	"Hungary"	1	"CRM"	15
"ISL"	"Iceland"	1	"CRM"	18.5
"IRL"	"Ireland"	1	"CRM"	32.9
"ITA"	"Italy"	1	"CRM"	30.2
"KOR"	"Korea"	1	"CRM"	15.4
"LVA"	"Latvia"	1	"CRM"	17.9
"LUX"	"Luxembourg"	1	"CRM"	36.2
"NLD"	"Netherlands"	1	"CRM"	47.3
"NOR"	"Norway"	1	"CRM"	37
"POL"	"Poland"	1	"CRM"	24.4
"PRT"	"Portugal"	1	"CRM"	29.4
"SVK"	"Slovak Republic"	1	"CRM"	22
"SVN"	"Slovenia"	1	"CRM"	28.6
"ESP"	"Spain"	1	"CRM"	34.7
"SWE"	"Sweden"	1	"CRM"	35.3
"CHE"	"Switzerland"	1	"CRM"	27
"TUR"	"Turkey"	1	"CRM"	8.5
"GBR"	"United Kingdom"	1	"CRM"	30
"BRA"	"Brazil"	1	"CRM"	20
"LTU"	"Lithuania"	1	"CRM"	34.4
"AUT"	"Austria"	0	"CRM"	42.4
"BEL"	"Belgium"	0	"CRM"	44.1
"CAN"	"Canada"	0	"CRM"	26.2
"CZE"	"Czech Republic"	0	"CRM"	15.2
"DNK"	"Denmark"	0	"CRM"	25.8
"EST"	"Estonia"	0	"CRM"	11.4
